@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8}

@data
225,'2018/05/21 00:15:00:362',4,1279,1785,903,2
226,'2018/05/21 00:15:00:431',4,1278,1768,904,2
227,'2018/05/21 00:15:00:495',4,1283,1756,902,2
228,'2018/05/21 00:15:00:495',4,1284,1755,901,2
229,'2018/05/21 00:15:00:556',4,1284,1763,903,2
230,'2018/05/21 00:15:00:615',4,1287,1763,903,2
231,'2018/05/21 00:15:00:618',4,1286,1796,906,2
232,'2018/05/21 00:15:00:697',4,1285,1802,911,2
233,'2018/05/21 00:15:00:704',4,1290,1789,908,2
234,'2018/05/21 00:15:00:778',4,1296,1763,905,2
235,'2018/05/21 00:15:00:842',4,1302,1749,906,2
236,'2018/05/21 00:15:00:842',4,1302,1747,907,2
237,'2018/05/21 00:15:00:887',4,1298,1746,907,2
238,'2018/05/21 00:15:00:957',4,1300,1746,910,2
239,'2018/05/21 00:15:01:027',4,1299,1748,907,2
240,'2018/05/21 00:15:01:027',4,1301,1744,905,2
241,'2018/05/21 00:15:01:076',4,1303,1740,906,2
242,'2018/05/21 00:15:01:144',4,1309,1735,907,2
243,'2018/05/21 00:15:01:144',4,1310,1737,908,2
244,'2018/05/21 00:15:01:213',4,1313,1733,910,2
245,'2018/05/21 00:15:01:221',4,1316,1733,908,2
246,'2018/05/21 00:15:01:292',4,1313,1733,907,2
247,'2018/05/21 00:15:01:361',4,1319,1729,906,2
248,'2018/05/21 00:15:01:361',4,1321,1725,908,2
249,'2018/05/21 00:15:01:430',4,1323,1726,907,2
250,'2018/05/21 00:15:01:439',4,1323,1716,907,2
251,'2018/05/21 00:15:01:506',4,1325,1714,907,2
252,'2018/05/21 00:15:01:573',4,1333,1712,906,2
253,'2018/05/21 00:15:01:573',4,1336,1711,907,2
